656.25, -8.537101
93.75, -6.6222731999999995
562.5, -7.7946371999999995
468.75, -9.478110599999999
2343.75, -9.929676
1125, -10.217723
187.5, -10.239102200000001
2250, -10.4804238
1218.75, -10.545697800000001
281.25, -10.558931
4031.25, -11.5812576
2437.5, -11.819381
4125, -11.8473258
1031.25, -12.385427
375, -12.4093018
750, -12.8556092
3468.75, -13.0513214
5812.5, -13.287101799999999
5250, -13.300671399999999
2906.25, -13.4157258
9375, -13.7446746
1312.5, -13.7570954
3937.5, -13.821614
3562.5, -13.831080600000002
5906.25, -13.887048400000001
8250, -14.068591399999999
11250, -14.1849166
5156.25, -14.2746444
9281.25, -14.275793400000001
9468.75, -14.2807648
1687.5, -14.2836456
10031.25, -14.2945312
1781.25, -14.3513932
2156.25, -14.3591828
8156.25, -14.419217
2812.5, -14.474735999999998
5343.75, -14.5927872
3000, -14.6081574
